x y z
0.0618 9.4485 -28.2219
0.1372 7.1636 -21.2164
0.9868 9.8797 -27.6655
0.3293 9.6865 -28.4009
0.9381 4.5063 -11.6427
0.3906 8.2651 -24.0141
0.4679 0.7105 -1.1957
0.8545 7.1441 -19.7233
0.2606 2.1501 -5.9291
0.0656 4.5414 -13.4930
0.8514 4.3869 -11.4579
0.6082 8.2369 -23.4943
0.1847 6.4682 -19.0352
0.0905 2.586 -7.5770
0.5281 5.3758 -15.0712
0.5251 6.6568 -18.9202
0.846 6.9627 -19.1961
0.3105 1.2101 -3.0093
0.3992 2.4947 -6.6857
0.295 0.8412 -1.9336
0.2853 3.0965 -8.7189
0.6226 3.6823 -9.8017
0.8908 1.9373 -4.0303
0.5877 0.7818 -1.1700
0.5936 8.8282 -25.2974
0.8416 9.9897 -28.2859
0.4941 7.2347 -20.7159
0.341 8.9848 -26.2724
0.4484 9.1193 -26.4611
0.7873 7.6972 -21.5170
